Subject Number,ID,Folder,SampleNumber,QC_AmplificationIssue
5000,1,,,N
5000,1,,,N
5313,2,,,N
5313,2,,,N
2169,3,,,N
2169,3,,,N
4087,4,,,N
4087,4,,,N
5066,5,,,N
5066,5,,,N
2950,6,,,N
2950,6,,,N
4383,7,,,N
4383,7,,,N
4619,8,,,N
4619,8,,,N
4819,9,,,N
4819,9,,,N
3711,10,,,N
3711,10,,,N
4830,12,,,N
4830,12,,,N
4413,13,,,N
4413,13,,,N
4948,14,,,N
4948,14,,,N
4957,15,,,N
4957,15,,,N
3265,16,,,N
3265,16,,,N
3772,17,,,N
3772,17,,,N
4656,18,,,N
4656,18,,,N
4419,19,,,N
4419,19,,,N
4114,20,,,N
4114,20,,,N
5001,21,,,N
5001,21,,,N
3618,22,,,N
3618,22,,,N
4385,23,,,N
4385,23,,,N
5390,24,,,N
5390,24,,,N
5019,25,,,N
5019,25,,,N
4262,26,,,N
4262,26,,,N
4301,27,,,N
4301,27,,,Y
5063,28,,,N
5063,28,,,N
3588,29,,,N
3588,29,,,N
4989,30,,,N
4989,30,,,N
5105,31,,,N
5105,31,,,N
3706,32,,,N
3706,32,,,N
3410,33,,,N
3410,33,,,N
4375,34,,,N
4375,34,,,N
5041,37,,,N
5041,37,,,N
4359,38,,,Y
4359,38,,,N
4945,39,,,N
4945,39,,,N
4357,40,,,N
4357,40,,,N
5330,41,,,N
5330,41,,,N
3525,42,,,N
3525,42,,,N
4284,43,,,N
4284,43,,,N
5266,44,,,N
5266,44,,,N
4917,45,,,N
4917,45,,,N
5046,46,,,N
5046,46,,,N
2311,47,,,N
2311,47,,,N
4837,48,,,N
4837,48,,,N
5287,49,,,N
5287,49,,,N
4213,50,,,N
4213,50,,,N
4366,51,,,N
4366,51,,,N
4955,52,,,N
4955,52,,,N
2466,53,,,N
2466,53,,,N
5272,54,,,N
5272,54,,,N
4345,55,,,N
4345,55,,,N
4296,56,,,N
4296,56,,,N
4519,57,,,N
4519,57,,,N
4639,58,,,N
4639,58,,,N
3684,59,,,N
3684,59,,,N
3774,60,,,N
3774,60,,,N
5057,61,,,N
5057,61,,,N
3927,62,,,N
3927,62,,,N
4946,63,,,N
4946,63,,,N
3683,64,,,N
3683,64,,,N
4990,65,,,N
4990,65,,,N
3651,66,,,N
3651,66,,,N
2316,67,,,N
2316,67,,,N
4242,68,,,N
4242,68,,,N
4404,69,,,N
4404,69,,,N
4664,70,,,N
4664,70,,,N
5376,71,,,N
5376,71,,,N
4405,72,,,N
4405,72,,,N
5006,73,,,N
5006,73,,,N
5162,74,,,N
5162,74,,,N
4463,75,,,N
4463,75,,,N
